File Name,Molecule,Precursor Adduct,Precursor Mz,Total Area,Best Retention Time
Standard2_water_neg_11.wiff2,2-Deoxycytidine,[M-H],226.08333,925,0.2
Standard2_matrix_neg_9.wiff2,2-Deoxycytidine,[M-H],226.08333,1378,0.2
Standard2_matrix_neg_8.wiff2,2-Deoxycytidine,[M-H],226.08333,1469,0.2
Standard2_matrix_neg_7.wiff2,2-Deoxycytidine,[M-H],226.08333,2527,0.21
Standard2_matrix_neg_6.wiff2,2-Deoxycytidine,[M-H],226.08333,8119,0.2
Standard2_matrix_neg_5.wiff2,2-Deoxycytidine,[M-H],226.08333,13289,0.2
Standard2_matrix_neg_4.wiff2,2-Deoxycytidine,[M-H],226.08333,27238,0.2
Standard2_matrix_neg_16.wiff2,2-Deoxycytidine,[M-H],226.08333,215,3.06
Standard2_matrix_neg_15.wiff2,2-Deoxycytidine,[M-H],226.08333,173,3.04
Standard2_matrix_neg_14.wiff2,2-Deoxycytidine,[M-H],226.08333,211,3.05
Standard2_matrix_neg_10.wiff2,2-Deoxycytidine,[M-H],226.08333,1038,0.2
Standard3_water_neg_9.wiff2,2-Deoxycytidine,[M-H],226.08333,275,3.05
Standard3_water_neg_8.wiff2,2-Deoxycytidine,[M-H],226.08333,174,3.06
Standard3_water_neg_7.wiff2,2-Deoxycytidine,[M-H],226.08333,474,0.21
Standard3_water_neg_5.wiff2,2-Deoxycytidine,[M-H],226.08333,5940,0.21
Standard3_water_neg_4.wiff2,2-Deoxycytidine,[M-H],226.08333,17190,0.21
Standard3_water_neg_3.wiff2,2-Deoxycytidine,[M-H],226.08333,30852,0.21
Standard3_water_neg_2.wiff2,2-Deoxycytidine,[M-H],226.08333,59774,0.21
Standard3_water_neg_16.wiff2,2-Deoxycytidine,[M-H],226.08333,296,3.05
Standard3_water_neg_15.wiff2,2-Deoxycytidine,[M-H],226.08333,223,3.05
Standard3_water_neg_14.wiff2,2-Deoxycytidine,[M-H],226.08333,239,3.06
Standard3_water_neg_13.wiff2,2-Deoxycytidine,[M-H],226.08333,180,3.06
Standard3_water_neg_12.wiff2,2-Deoxycytidine,[M-H],226.08333,190,3.05
Standard3_water_neg_11.wiff2,2-Deoxycytidine,[M-H],226.08333,204,3.06
Standard3_water_neg_10.wiff2,2-Deoxycytidine,[M-H],226.08333,281,3.05
Standard3_matrix_neg_9.wiff2,2-Deoxycytidine,[M-H],226.08333,83,0.2
Standard3_matrix_neg_7.wiff2,2-Deoxycytidine,[M-H],226.08333,491,0.2
Standard3_matrix_neg_6.wiff2,2-Deoxycytidine,[M-H],226.08333,631,0.2
Standard3_matrix_neg_5.wiff2,2-Deoxycytidine,[M-H],226.08333,1627,0.21
Standard3_matrix_neg_4.wiff2,2-Deoxycytidine,[M-H],226.08333,2635,0.2
Standard3_matrix_neg_3.wiff2,2-Deoxycytidine,[M-H],226.08333,16990,0.2
Standard3_matrix_neg_10.wiff2,2-Deoxycytidine,[M-H],226.08333,114,3.05
Standard3_matrix_neg_1.wiff2,2-Deoxycytidine,[M-H],226.08333,47753,0.2
Standard2_water_neg_7.wiff2,2-Deoxycytidine,[M-H],226.08333,3747,0.21
Standard2_water_neg_6.wiff2,2-Deoxycytidine,[M-H],226.08333,6491,0.2
Standard2_water_neg_5.wiff2,2-Deoxycytidine,[M-H],226.08333,10717,0.21
Standard2_water_neg_4.wiff2,2-Deoxycytidine,[M-H],226.08333,15725,0.21
Standard2_water_neg_3.wiff2,2-Deoxycytidine,[M-H],226.08333,21999,0.21
Standard2_water_neg_22.wiff2,2-Deoxycytidine,[M-H],226.08333,182,3.04
Standard2_water_neg_20.wiff2,2-Deoxycytidine,[M-H],226.08333,225,3.05
Standard2_water_neg_2.wiff2,2-Deoxycytidine,[M-H],226.08333,33234,0.21
Standard2_water_neg_15.wiff2,2-Deoxycytidine,[M-H],226.08333,203,3.05
Standard2_water_neg_1.wiff2,2-Deoxycytidine,[M-H],226.08333,50354,0.21
Standard2_matrix_neg_3.wiff2,2-Deoxycytidine,[M-H],226.08333,23393,0.21
Standard2_matrix_neg_24.wiff2,2-Deoxycytidine,[M-H],226.08333,220,3.04
Standard2_matrix_neg_23.wiff2,2-Deoxycytidine,[M-H],226.08333,220,3.03
Standard2_matrix_neg_22.wiff2,2-Deoxycytidine,[M-H],226.08333,247,3.03
Standard2_matrix_neg_21.wiff2,2-Deoxycytidine,[M-H],226.08333,169,3.04
Standard2_matrix_neg_20.wiff2,2-Deoxycytidine,[M-H],226.08333,186,3.04
Standard2_matrix_neg_2.wiff2,2-Deoxycytidine,[M-H],226.08333,34608,0.21
Standard2_matrix_neg_19.wiff2,2-Deoxycytidine,[M-H],226.08333,182,3.04
Standard2_matrix_neg_18.wiff2,2-Deoxycytidine,[M-H],226.08333,170,3.05
Standard2_matrix_neg_17.wiff2,2-Deoxycytidine,[M-H],226.08333,186,3.05
Standard2_matrix_neg_13.wiff2,2-Deoxycytidine,[M-H],226.08333,200,3.04
Standard2_matrix_neg_12.wiff2,2-Deoxycytidine,[M-H],226.08333,185,0.21
Standard2_matrix_neg_11.wiff2,2-Deoxycytidine,[M-H],226.08333,603,0.21
Standard2_matrix_neg_1.wiff2,2-Deoxycytidine,[M-H],226.08333,54049,0.21
QC_neg.wiff2,2-Deoxycytidine,[M-H],226.08333,240,3.05
Standard2_matrix_pos_16.wiff2,2-Deoxycytidine,[M+H],228.097882,160,0.09
Standard3_water_pos_9.wiff2,2-Deoxycytidine,[M+H],228.097882,11,3.01
Standard3_water_pos_8.wiff2,2-Deoxycytidine,[M+H],228.097882,440,0.21
Standard3_water_pos_7.wiff2,2-Deoxycytidine,[M+H],228.097882,58,1.77
Standard3_water_pos_6.wiff2,2-Deoxycytidine,[M+H],228.097882,4243,0.21
Standard3_water_pos_5.wiff2,2-Deoxycytidine,[M+H],228.097882,9467,0.22
Standard3_water_pos_4.wiff2,2-Deoxycytidine,[M+H],228.097882,16859,0.21
Standard3_water_pos_3.wiff2,2-Deoxycytidine,[M+H],228.097882,32925,0.21
Standard3_water_pos_2.wiff2,2-Deoxycytidine,[M+H],228.097882,93585,0.21
Standard3_water_pos_16.wiff2,2-Deoxycytidine,[M+H],228.097882,19,3
